,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,distanceSumHi,distanceSumLow,differentialDistanceFromRoof65,differentialDistanceFromRoof67,differentialDistanceFromRoof57
333,18.67,18.79,18.75,17.19,50.83,63.08,107.86,BEER_BOTTLE,37.46,35.94,12.25,-44.78,-57.03
334,17.88,18.83,18.72,17.2,50.82,62.63,108.05,BEER_BOTTLE,36.709999999999994,35.92,11.810000000000002,-45.419999999999995,-57.23
335,18.36,18.76,18.62,17.19,50.35,62.21,111.83,BEER_BOTTLE,37.120000000000005,35.81,11.86,-49.62,-61.48
336,18.25,18.77,18.64,17.21,50.42,62.58,108.31,BEER_BOTTLE,37.019999999999996,35.85,12.159999999999997,-45.730000000000004,-57.89
337,18.2,18.75,18.63,17.21,50.38,63.11,108.33,BEER_BOTTLE,36.95,35.84,12.729999999999997,-45.22,-57.949999999999996
338,18.23,18.84,18.65,17.19,50.37,63.12,108.96,BEER_BOTTLE,37.07,35.84,12.75,-45.839999999999996,-58.589999999999996
339,18.32,18.81,18.67,17.21,50.85,62.65,108.34,BEER_BOTTLE,37.129999999999995,35.88,11.799999999999997,-45.690000000000005,-57.49
340,20.91,16.88,54.86,17.51,51.23,54.02,108.38,BALL_CENTER,37.79,72.37,2.7900000000000063,-54.35999999999999,-57.15
341,21.01,16.85,54.95,17.49,51.15,54.45,75.8,BALL_CENTER,37.86,72.44,3.3000000000000043,-21.349999999999994,-24.65
342,21.05,16.87,54.93,17.41,50.77,54.91,109.79,BALL_CENTER,37.92,72.34,4.1399999999999935,-54.88000000000001,-59.02
343,20.98,16.87,54.92,17.42,51.21,54.01,109.52,BALL_CENTER,37.85,72.34,2.799999999999997,-55.51,-58.309999999999995
344,20.92,16.89,54.86,17.45,51.14,54.45,109.63,BALL_CENTER,37.81,72.31,3.3100000000000023,-55.17999999999999,-58.489999999999995
345,21.05,16.82,54.37,17.47,51.16,54.68,107.25,BALL_CENTER,37.870000000000005,71.84,3.520000000000003,-52.57,-56.09
346,20.94,16.86,54.41,17.46,51.2,54.43,112.38,BALL_CENTER,37.8,71.87,3.229999999999997,-57.949999999999996,-61.17999999999999
347,20.99,16.92,54.44,17.5,51.18,54.89,109.26,BALL_CENTER,37.91,71.94,3.710000000000001,-54.370000000000005,-58.080000000000005
348,21.0,16.9,54.44,17.48,51.16,54.04,108.11,BALL_CENTER,37.9,71.92,2.8800000000000026,-54.07,-56.95
349,21.03,16.87,54.93,17.49,51.23,54.28,113.28,BALL_CENTER,37.900000000000006,72.42,3.0500000000000043,-59.0,-62.050000000000004
350,20.98,16.93,52.86,17.46,51.27,54.49,108.34,BALL_CENTER,37.91,70.32,3.219999999999999,-53.85,-57.07
351,21.02,16.87,54.92,17.45,51.16,54.51,60.62,BALL_CENTER,37.89,72.37,3.3500000000000014,-6.109999999999999,-9.46
352,21.0,16.87,54.81,17.48,51.23,54.46,5.11,BALL_CENTER,37.870000000000005,72.29,3.230000000000004,49.35,46.12
353,20.96,16.91,54.85,17.5,51.71,54.86,108.37,BALL_CENTER,37.870000000000005,72.35,3.1499999999999986,-53.510000000000005,-56.660000000000004
354,20.94,16.86,54.03,17.48,51.23,54.44,107.8,BALL_CENTER,37.8,71.51,3.210000000000001,-53.36,-56.57
355,53.46,56.48,55.17,52.21,51.75,51.72,109.71,WALL_BALL,109.94,107.38,-0.030000000000001137,-57.989999999999995,-57.959999999999994
356,53.49,56.07,54.78,52.15,51.24,51.77,110.74,WALL_BALL,109.56,106.93,0.5300000000000011,-58.96999999999999,-59.49999999999999
357,53.38,55.6,55.13,52.2,51.2,52.21,113.83,WALL_BALL,108.98,107.33000000000001,1.009999999999998,-61.62,-62.629999999999995
358,53.39,56.01,54.8,52.12,51.25,51.66,59.43,WALL_BALL,109.4,106.91999999999999,0.4099999999999966,-7.770000000000003,-8.18
359,52.94,56.01,54.79,52.08,51.69,51.72,72.74,WALL_BALL,108.94999999999999,106.87,0.030000000000001137,-21.019999999999996,-21.049999999999997
360,53.4,56.77,55.14,51.74,51.67,51.64,107.98,WALL_BALL,110.17,106.88,-0.030000000000001137,-56.34,-56.31
361,53.43,55.59,55.07,52.16,51.25,51.77,109.41,WALL_BALL,109.02000000000001,107.22999999999999,0.5200000000000031,-57.63999999999999,-58.16
