,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
230,22.62,17.36,17.92,20.98,50.71,2107.53,101.83,SQUARE_MILK_45
231,22.58,17.43,17.95,20.58,50.4,2108.33,110.01,SQUARE_MILK_45
234,22.6,17.4,18.03,21.49,50.33,2108.2,110.5,SQUARE_MILK_45
235,22.56,17.33,17.96,21.41,50.31,2108.93,109.52,SQUARE_MILK_45
237,22.54,17.33,17.92,20.64,50.31,2109.13,109.33,SQUARE_MILK_45
238,22.53,17.31,17.93,21.45,50.38,2107.72,110.31,SQUARE_MILK_45
455,18.44,18.26,18.79,17.44,32.63,52.82,108.85,SQUARE_MILK_45
457,18.55,18.27,18.41,17.45,32.69,52.36,108.53,SQUARE_MILK_45
458,18.43,18.21,18.79,17.47,32.6,52.91,107.86,SQUARE_MILK_45
459,18.53,18.32,18.34,17.44,31.19,52.43,107.71,SQUARE_MILK_45
461,18.52,18.24,18.81,17.45,32.67,52.82,113.65,SQUARE_MILK_45
462,18.44,18.27,18.41,17.42,32.64,52.8,93.23,SQUARE_MILK_45
463,18.49,18.2,18.84,17.4,32.54,52.36,112.62,SQUARE_MILK_45
464,18.45,19.32,18.77,17.46,32.6,52.34,112.37,SQUARE_MILK_45
465,18.49,18.31,18.35,17.47,33.01,52.77,110.56,SQUARE_MILK_45
466,18.44,18.2,18.82,17.5,33.05,52.87,111.24,SQUARE_MILK_45
467,18.4,18.27,18.76,16.27,32.6,52.38,112.22,SQUARE_MILK_45
468,18.47,18.26,18.74,17.39,32.65,52.42,106.99,SQUARE_MILK_45
469,18.51,18.29,18.81,17.46,32.6,52.39,108.78,SQUARE_MILK_45
470,18.47,19.1,18.78,17.49,32.62,52.39,107.73,SQUARE_MILK_45
473,18.49,18.35,18.87,17.5,32.61,52.31,119.21,SQUARE_MILK_45
474,18.48,18.19,18.81,17.5,32.65,51.81,107.05,SQUARE_MILK_45
476,18.44,17.29,18.81,17.51,32.48,33.56,107.26,SQUARE_MILK_45
206,39.52,17.28,39.06,37.79,50.34,63.01,109.98,SQUARE_MILK_90
208,39.53,17.27,39.07,38.28,50.39,63.07,110.26,SQUARE_MILK_90
210,39.45,17.26,38.63,37.76,50.35,63.87,109.81,SQUARE_MILK_90
211,39.51,17.25,39.09,37.86,50.29,63.43,114.71,SQUARE_MILK_90
212,39.47,17.23,39.03,38.16,50.4,63.92,81.23,SQUARE_MILK_90
213,39.49,17.28,39.01,38.22,50.32,63.49,113.47,SQUARE_MILK_90
214,38.68,17.28,38.62,38.19,50.33,62.72,110.4,SQUARE_MILK_90
216,38.68,17.32,38.56,37.82,50.41,63.01,109.56,SQUARE_MILK_90
217,39.04,17.21,38.72,37.85,50.46,63.97,112.85,SQUARE_MILK_90
218,39.55,17.28,38.66,37.85,50.28,62.97,109.0,SQUARE_MILK_90
219,39.45,17.24,38.6,37.8,50.85,64.39,109.27,SQUARE_MILK_90
220,39.48,17.28,38.63,37.88,50.38,63.98,109.03,SQUARE_MILK_90
221,39.47,17.19,38.6,37.88,50.34,63.05,114.86,SQUARE_MILK_90
222,39.5,17.26,38.65,37.75,50.43,63.43,109.16,SQUARE_MILK_90
477,40.3,19.77,38.51,49.06,30.95,57.67,109.99,SQUARE_MILK_90
478,40.84,19.63,39.02,49.95,30.91,57.15,105.92,SQUARE_MILK_90
479,41.19,19.63,39.64,49.52,30.88,58.42,111.83,SQUARE_MILK_90
480,41.19,19.66,38.51,49.09,30.86,58.05,104.93,SQUARE_MILK_90
481,40.32,19.77,38.6,49.06,30.9,57.58,101.31,SQUARE_MILK_90
482,40.32,19.7,38.59,48.99,30.86,57.57,104.95,SQUARE_MILK_90
